title,description,long_description,image,creator_id,tags,genres,ai_tools,is_multiplayer,iframe_url,github_url,creator_x_url,how_to_play
Rocklight,"Step into the world of 'Rocklight', where genre boundaries blur and gameplay surprises.","Rocklight delivers a one-of-a-kind browser experience, combining unexpected mechanics, striking visuals, and clever design choices. Each session offers a new twist, keeping players curious and engaged from the first click to the final challenge.",https://aibuiltgames.com/images/rocklight.png,c9456de6-123b-4099-a528-2b101e39f434,Shooter,Shooter,Calude 3.5,FALSE,Rocklight - Top-Down Shooter,,https://x.com/skifull579,"Play 'Rocklight' using your mouse or keyboard. Each level introduces new mechanics, so pay attention to hints and experiment with interactions to uncover hidden layers of the game."
Space Cruise,"Step into the world of 'Space Cruise', where genre boundaries blur and gameplay surprises.","Space Cruise delivers a one-of-a-kind browser experience, combining unexpected mechanics, striking visuals, and clever design choices. Each session offers a new twist, keeping players curious and engaged from the first click to the final challenge.",https://aibuiltgames.com/images/space-cruise.png,c9456de6-123b-4099-a528-2b101e39f434,Simulation,Simulation,Calude 3.5,FALSE,Space Cruise - 3D Space Game,,https://x.com/aditya_T007,"Play 'Space Cruise' using your mouse or keyboard. Each level introduces new mechanics, so pay attention to hints and experiment with interactions to uncover hidden layers of the game."
Race Viberz,"Step into the world of 'Race Viberz', where genre boundaries blur and gameplay surprises.","Race Viberz delivers a one-of-a-kind browser experience, combining unexpected mechanics, striking visuals, and clever design choices. Each session offers a new twist, keeping players curious and engaged from the first click to the final challenge.",https://aibuiltgames.com/images/race-viberz.png,c9456de6-123b-4099-a528-2b101e39f434,Racing,Racing,Calude 3.5,FALSE,Race Viberz,,https://x.com/LoukilAymen,"Play 'Race Viberz' using your mouse or keyboard. Each level introduces new mechanics, so pay attention to hints and experiment with interactions to uncover hidden layers of the game."
DuskRealm,"Step into the world of 'DuskRealm', where genre boundaries blur and gameplay surprises.","DuskRealm delivers a one-of-a-kind browser experience, combining unexpected mechanics, striking visuals, and clever design choices. Each session offers a new twist, keeping players curious and engaged from the first click to the final challenge.",https://aibuiltgames.com/images/duskrealm.png,c9456de6-123b-4099-a528-2b101e39f434,Arcade,Arcade,Calude 3.5,FALSE,DuskRealm,,https://x.com/Igrodev,"Play 'DuskRealm' using your mouse or keyboard. Each level introduces new mechanics, so pay attention to hints and experiment with interactions to uncover hidden layers of the game."
Gladiator Arena,"Step into the world of 'Gladiator Arena', where genre boundaries blur and gameplay surprises.","Gladiator Arena delivers a one-of-a-kind browser experience, combining unexpected mechanics, striking visuals, and clever design choices. Each session offers a new twist, keeping players curious and engaged from the first click to the final challenge.",https://aibuiltgames.com/images/gladiator-arena.png,c9456de6-123b-4099-a528-2b101e39f434,Fighting,Fighting,Calude 3.5,FALSE,Arena Gladiator Game,,https://x.com/rfitzpatrick_io,"Play 'Gladiator Arena' using your mouse or keyboard. Each level introduces new mechanics, so pay attention to hints and experiment with interactions to uncover hidden layers of the game."
Sima Flight Combat,"Step into the world of 'Sima Flight Combat', where genre boundaries blur and gameplay surprises.","Sima Flight Combat delivers a one-of-a-kind browser experience, combining unexpected mechanics, striking visuals, and clever design choices. Each session offers a new twist, keeping players curious and engaged from the first click to the final challenge.",https://aibuiltgames.com/images/sima-flight-combat.png,c9456de6-123b-4099-a528-2b101e39f434,Fighting,Fighting,Calude 3.5,FALSE,Flight Simulator,,https://x.com/sima.dev,"Play 'Sima Flight Combat' using your mouse or keyboard. Each level introduces new mechanics, so pay attention to hints and experiment with interactions to uncover hidden layers of the game."
ShooterWorldAI,"Step into the world of 'ShooterWorldAI', where genre boundaries blur and gameplay surprises.","ShooterWorldAI delivers a one-of-a-kind browser experience, combining unexpected mechanics, striking visuals, and clever design choices. Each session offers a new twist, keeping players curious and engaged from the first click to the final challenge.",https://aibuiltgames.com/images/shooter.png,c9456de6-123b-4099-a528-2b101e39f434,Shooter,Shooter,Calude 3.5,FALSE,ShooterWorldAi.com - Multiplayer FPS Game,,https://x.com/feineCapital,"Play 'ShooterWorldAI' using your mouse or keyboard. Each level introduces new mechanics, so pay attention to hints and experiment with interactions to uncover hidden layers of the game."
Vibe Sail,"Step into the world of 'Vibe Sail', where genre boundaries blur and gameplay surprises.","Vibe Sail delivers a one-of-a-kind browser experience, combining unexpected mechanics, striking visuals, and clever design choices. Each session offers a new twist, keeping players curious and engaged from the first click to the final challenge.",https://aibuiltgames.com/images/sail-the-world.png,c9456de6-123b-4099-a528-2b101e39f434,Simulation,Simulation,Calude 3.5,FALSE,VibeSail - Relaxing Online 3D Sailing Simulator,,https://x.com/nicolamanzini,"Play 'Vibe Sail' using your mouse or keyboard. Each level introduces new mechanics, so pay attention to hints and experiment with interactions to uncover hidden layers of the game."
Classic Pong Game,"Step into the world of 'Classic Pong Game', where genre boundaries blur and gameplay surprises.","Classic Pong Game delivers a one-of-a-kind browser experience, combining unexpected mechanics, striking visuals, and clever design choices. Each session offers a new twist, keeping players curious and engaged from the first click to the final challenge.",https://aibuiltgames.com/images/classic-pong-game.png,c9456de6-123b-4099-a528-2b101e39f434,Arcade,Arcade,Calude 3.5,FALSE,Classic Pong Game,,https://x.com/vibecoding_,"Play 'Classic Pong Game' using your mouse or keyboard. Each level introduces new mechanics, so pay attention to hints and experiment with interactions to uncover hidden layers of the game."
3D Tetris,"Step into the world of '3D Tetris', where genre boundaries blur and gameplay surprises.","3D Tetris delivers a one-of-a-kind browser experience, combining unexpected mechanics, striking visuals, and clever design choices. Each session offers a new twist, keeping players curious and engaged from the first click to the final challenge.",https://aibuiltgames.com/images/tetris.png,c9456de6-123b-4099-a528-2b101e39f434,Arcade,Arcade,Calude 3.5,FALSE,3D Tetris Platforms,,https://x.com/RealFredericVC,"Play '3D Tetris' using your mouse or keyboard. Each level introduces new mechanics, so pay attention to hints and experiment with interactions to uncover hidden layers of the game."
VybeNomad,"Step into the world of 'VybeNomad', where genre boundaries blur and gameplay surprises.","VybeNomad delivers a one-of-a-kind browser experience, combining unexpected mechanics, striking visuals, and clever design choices. Each session offers a new twist, keeping players curious and engaged from the first click to the final challenge.",https://aibuiltgames.com/images/vybe-nomad.png,c9456de6-123b-4099-a528-2b101e39f434,Arcade,Arcade,Calude 3.5,FALSE,VybeNomad - Digital Nomad Simulator,,https://x.com/AlbertSimonDev,"Play 'VybeNomad' using your mouse or keyboard. Each level introduces new mechanics, so pay attention to hints and experiment with interactions to uncover hidden layers of the game."
Dyson Defender,"Step into the world of 'Dyson Defender', where genre boundaries blur and gameplay surprises.","Dyson Defender delivers a one-of-a-kind browser experience, combining unexpected mechanics, striking visuals, and clever design choices. Each session offers a new twist, keeping players curious and engaged from the first click to the final challenge.",https://aibuiltgames.com/images/dyson-defender.png,c9456de6-123b-4099-a528-2b101e39f434,Shooter,Shooter,Calude 3.5,FALSE,Dyson Sphere Defender,,https://x.com/hankfalltrades,"Play 'Dyson Defender' using your mouse or keyboard. Each level introduces new mechanics, so pay attention to hints and experiment with interactions to uncover hidden layers of the game."
Suika Game,"Step into the world of 'Suika Game', where genre boundaries blur and gameplay surprises.","Suika Game delivers a one-of-a-kind browser experience, combining unexpected mechanics, striking visuals, and clever design choices. Each session offers a new twist, keeping players curious and engaged from the first click to the final challenge.",https://aibuiltgames.com/images/suika-game.png,c9456de6-123b-4099-a528-2b101e39f434,Puzzle,Puzzle,Calude 3.5,FALSE,Suika Game - Play the Addictive Fruit Merging Puzzle Online,,https://x.com/andrwhcom,"Play 'Suika Game' using your mouse or keyboard. Each level introduces new mechanics, so pay attention to hints and experiment with interactions to uncover hidden layers of the game."
Planetary,"Step into the world of 'Planetary', where genre boundaries blur and gameplay surprises.","Planetary delivers a one-of-a-kind browser experience, combining unexpected mechanics, striking visuals, and clever design choices. Each session offers a new twist, keeping players curious and engaged from the first click to the final challenge.",https://aibuiltgames.com/images/planetary.png,c9456de6-123b-4099-a528-2b101e39f434,Simulation,Simulation,Calude 3.5,FALSE,PLANETARY,,https://x.com/jbelevate,"Play 'Planetary' using your mouse or keyboard. Each level introduces new mechanics, so pay attention to hints and experiment with interactions to uncover hidden layers of the game."
Knightmares,"Step into the world of 'Knightmares', where genre boundaries blur and gameplay surprises.","Knightmares delivers a one-of-a-kind browser experience, combining unexpected mechanics, striking visuals, and clever design choices. Each session offers a new twist, keeping players curious and engaged from the first click to the final challenge.",https://aibuiltgames.com/images/knightmares.png,c9456de6-123b-4099-a528-2b101e39f434,Arcade,Arcade,Calude 3.5,FALSE,Knightmares - Roguelite Horror,,https://x.com/Egzothicki,"Play 'Knightmares' using your mouse or keyboard. Each level introduces new mechanics, so pay attention to hints and experiment with interactions to uncover hidden layers of the game."
Fruit of the Boom,"Step into the world of 'Fruit of the Boom', where genre boundaries blur and gameplay surprises.","Fruit of the Boom delivers a one-of-a-kind browser experience, combining unexpected mechanics, striking visuals, and clever design choices. Each session offers a new twist, keeping players curious and engaged from the first click to the final challenge.",https://aibuiltgames.com/images/fruit-of-the-boom.png,c9456de6-123b-4099-a528-2b101e39f434,Puzzle,Puzzle,Calude 3.5,FALSE,Fruit of the Boom,,https://x.com/isaactdozier,"Play 'Fruit of the Boom' using your mouse or keyboard. Each level introduces new mechanics, so pay attention to hints and experiment with interactions to uncover hidden layers of the game."
Spell Royale,"Step into the world of 'Spell Royale', where genre boundaries blur and gameplay surprises.","Spell Royale delivers a one-of-a-kind browser experience, combining unexpected mechanics, striking visuals, and clever design choices. Each session offers a new twist, keeping players curious and engaged from the first click to the final challenge.",https://aibuiltgames.com/images/spell-royale.png,c9456de6-123b-4099-a528-2b101e39f434,Puzzle,Puzzle,Calude 3.5,FALSE,Spell Royale,,https://x.com/dougkinnison,"Play 'Spell Royale' using your mouse or keyboard. Each level introduces new mechanics, so pay attention to hints and experiment with interactions to uncover hidden layers of the game."
Falling Bubbles,"Step into the world of 'Falling Bubbles', where genre boundaries blur and gameplay surprises.","Falling Bubbles delivers a one-of-a-kind browser experience, combining unexpected mechanics, striking visuals, and clever design choices. Each session offers a new twist, keeping players curious and engaged from the first click to the final challenge.",https://aibuiltgames.com/images/falling-bubbles.png,c9456de6-123b-4099-a528-2b101e39f434,Arcade,Arcade,Calude 3.5,FALSE,Falling Bubbles,,https://x.com/sagarsaija,"Play 'Falling Bubbles' using your mouse or keyboard. Each level introduces new mechanics, so pay attention to hints and experiment with interactions to uncover hidden layers of the game."
Typenoon,"Step into the world of 'Typenoon', where genre boundaries blur and gameplay surprises.","Typenoon delivers a one-of-a-kind browser experience, combining unexpected mechanics, striking visuals, and clever design choices. Each session offers a new twist, keeping players curious and engaged from the first click to the final challenge.",https://aibuiltgames.com/images/typenoon.png,c9456de6-123b-4099-a528-2b101e39f434,Arcade,Arcade,Calude 3.5,FALSE,?? Typenoon,,https://x.com/nvmeeet,"Play 'Typenoon' using your mouse or keyboard. Each level introduces new mechanics, so pay attention to hints and experiment with interactions to uncover hidden layers of the game."
Aetherialdream,"Step into the world of 'Aetherialdream', where genre boundaries blur and gameplay surprises.","Aetherialdream delivers a one-of-a-kind browser experience, combining unexpected mechanics, striking visuals, and clever design choices. Each session offers a new twist, keeping players curious and engaged from the first click to the final challenge.",https://aibuiltgames.com/images/aetherialdream.png,c9456de6-123b-4099-a528-2b101e39f434,Arcade,Arcade,Calude 3.5,FALSE,Aetherial - Dream Journal,,https://x.com/Kaberikram,"Play 'Aetherialdream' using your mouse or keyboard. Each level introduces new mechanics, so pay attention to hints and experiment with interactions to uncover hidden layers of the game."
Rock Water Skipping,"Step into the world of 'Rock Water Skipping', where genre boundaries blur and gameplay surprises.","Rock Water Skipping delivers a one-of-a-kind browser experience, combining unexpected mechanics, striking visuals, and clever design choices. Each session offers a new twist, keeping players curious and engaged from the first click to the final challenge.",https://aibuiltgames.com/images/rock-water-skipping.png,c9456de6-123b-4099-a528-2b101e39f434,Arcade,Arcade,Calude 3.5,FALSE,"Rock, Water, Skipping - Game",,https://x.com/Stianwalgermo,"Play 'Rock Water Skipping' using your mouse or keyboard. Each level introduces new mechanics, so pay attention to hints and experiment with interactions to uncover hidden layers of the game."
Ad Simulator,"Step into the world of 'Ad Simulator', where genre boundaries blur and gameplay surprises.","Ad Simulator delivers a one-of-a-kind browser experience, combining unexpected mechanics, striking visuals, and clever design choices. Each session offers a new twist, keeping players curious and engaged from the first click to the final challenge.",https://aibuiltgames.com/images/ad-simulator.png,c9456de6-123b-4099-a528-2b101e39f434,Simulation,Simulation,Calude 3.5,FALSE,AD SIMULATOR - A Battlefield Full of Ads,,https://x.com/iagolast,"Play 'Ad Simulator' using your mouse or keyboard. Each level introduces new mechanics, so pay attention to hints and experiment with interactions to uncover hidden layers of the game."
PingPongAI,"Step into the world of 'PingPongAI', where genre boundaries blur and gameplay surprises.","PingPongAI delivers a one-of-a-kind browser experience, combining unexpected mechanics, striking visuals, and clever design choices. Each session offers a new twist, keeping players curious and engaged from the first click to the final challenge.",https://aibuiltgames.com/images/pingpong.png,c9456de6-123b-4099-a528-2b101e39f434,Arcade,Arcade,Calude 3.5,FALSE,Ping Pong Game,,https://x.com/NaimeBhuiyan,"Play 'PingPongAI' using your mouse or keyboard. Each level introduces new mechanics, so pay attention to hints and experiment with interactions to uncover hidden layers of the game."
Pork Droid,"Step into the world of 'Pork Droid', where genre boundaries blur and gameplay surprises.","Pork Droid delivers a one-of-a-kind browser experience, combining unexpected mechanics, striking visuals, and clever design choices. Each session offers a new twist, keeping players curious and engaged from the first click to the final challenge.",https://aibuiltgames.com/images/pork-droid.png,c9456de6-123b-4099-a528-2b101e39f434,Arcade,Arcade,Calude 3.5,FALSE,Pork Droid,,https://x.com/reignboat,"Play 'Pork Droid' using your mouse or keyboard. Each level introduces new mechanics, so pay attention to hints and experiment with interactions to uncover hidden layers of the game."
Natural Fawn Killers,"Step into the world of 'Natural Fawn Killers', where genre boundaries blur and gameplay surprises.","Natural Fawn Killers delivers a one-of-a-kind browser experience, combining unexpected mechanics, striking visuals, and clever design choices. Each session offers a new twist, keeping players curious and engaged from the first click to the final challenge.",https://aibuiltgames.com/images/natural-fawn-killers.png,c9456de6-123b-4099-a528-2b101e39f434,Shooter,Shooter,Calude 3.5,FALSE,Three.js FPS Game,,https://x.com/marckohlbrugge,"Play 'Natural Fawn Killers' using your mouse or keyboard. Each level introduces new mechanics, so pay attention to hints and experiment with interactions to uncover hidden layers of the game."
TideFall,"Step into the world of 'TideFall', where genre boundaries blur and gameplay surprises.","TideFall delivers a one-of-a-kind browser experience, combining unexpected mechanics, striking visuals, and clever design choices. Each session offers a new twist, keeping players curious and engaged from the first click to the final challenge.",https://aibuiltgames.com/images/tidefall.png,c9456de6-123b-4099-a528-2b101e39f434,Adventure,Adventure,Calude 3.5,FALSE,tidefall.io,,https://x.com/dyoburon,"Play 'TideFall' using your mouse or keyboard. Each level introduces new mechanics, so pay attention to hints and experiment with interactions to uncover hidden layers of the game."
Tanks AI,"Step into the world of 'Tanks AI', where genre boundaries blur and gameplay surprises.","Tanks AI delivers a one-of-a-kind browser experience, combining unexpected mechanics, striking visuals, and clever design choices. Each session offers a new twist, keeping players curious and engaged from the first click to the final challenge.",https://aibuiltgames.com/images/tank.png,c9456de6-123b-4099-a528-2b101e39f434,Action,Action,Calude 3.5,FALSE,TANKS AI,,https://x.com/d4m1n,"Play 'Tanks AI' using your mouse or keyboard. Each level introduces new mechanics, so pay attention to hints and experiment with interactions to uncover hidden layers of the game."
Breaking Balls,"Step into the world of 'Breaking Balls', where genre boundaries blur and gameplay surprises.","Breaking Balls delivers a one-of-a-kind browser experience, combining unexpected mechanics, striking visuals, and clever design choices. Each session offers a new twist, keeping players curious and engaged from the first click to the final challenge.",https://aibuiltgames.com/images/breaking-balls.png,c9456de6-123b-4099-a528-2b101e39f434,Arcade,Arcade,Calude 3.5,FALSE,make real ï tldraw,,https://x.com/adityakabra,"Play 'Breaking Balls' using your mouse or keyboard. Each level introduces new mechanics, so pay attention to hints and experiment with interactions to uncover hidden layers of the game."
Space Combat,"Step into the world of 'Space Combat', where genre boundaries blur and gameplay surprises.","Space Combat delivers a one-of-a-kind browser experience, combining unexpected mechanics, striking visuals, and clever design choices. Each session offers a new twist, keeping players curious and engaged from the first click to the final challenge.",https://aibuiltgames.com/images/space-combat.png,c9456de6-123b-4099-a528-2b101e39f434,Simulation,Simulation,Calude 3.5,FALSE,spacefightergame.com,,https://x.com/jogicodes,"Play 'Space Combat' using your mouse or keyboard. Each level introduces new mechanics, so pay attention to hints and experiment with interactions to uncover hidden layers of the game."
Combat Mission,"Step into the world of 'Combat Mission', where genre boundaries blur and gameplay surprises.","Combat Mission delivers a one-of-a-kind browser experience, combining unexpected mechanics, striking visuals, and clever design choices. Each session offers a new twist, keeping players curious and engaged from the first click to the final challenge.",https://aibuiltgames.com/images/combat-mission.png,c9456de6-123b-4099-a528-2b101e39f434,Shooter,Shooter,Calude 3.5,FALSE,FPS Game,,https://x.com/reaganmaconi,"Play 'Combat Mission' using your mouse or keyboard. Each level introduces new mechanics, so pay attention to hints and experiment with interactions to uncover hidden layers of the game."
Enhanced Tank Battle Game,"Step into the world of 'Enhanced Tank Battle Game', where genre boundaries blur and gameplay surprises.","Enhanced Tank Battle Game delivers a one-of-a-kind browser experience, combining unexpected mechanics, striking visuals, and clever design choices. Each session offers a new twist, keeping players curious and engaged from the first click to the final challenge.",https://aibuiltgames.com/images/enhanced-tank-battle.png,c9456de6-123b-4099-a528-2b101e39f434,Action,Action,Calude 3.5,FALSE,Enhanced Tank Battle Game,,https://x.com/cemilsvm,"Play 'Enhanced Tank Battle Game' using your mouse or keyboard. Each level introduces new mechanics, so pay attention to hints and experiment with interactions to uncover hidden layers of the game."
Poly Rush,"Step into the world of 'Poly Rush', where genre boundaries blur and gameplay surprises.","Poly Rush delivers a one-of-a-kind browser experience, combining unexpected mechanics, striking visuals, and clever design choices. Each session offers a new twist, keeping players curious and engaged from the first click to the final challenge.",https://aibuiltgames.com/images/poly-rush.png,c9456de6-123b-4099-a528-2b101e39f434,Arcade,Arcade,Calude 3.5,FALSE,Poly Rush Game,,https://x.com/lautodonna,"Play 'Poly Rush' using your mouse or keyboard. Each level introduces new mechanics, so pay attention to hints and experiment with interactions to uncover hidden layers of the game."
Where's Pieter,"Step into the world of 'Where's Pieter', where genre boundaries blur and gameplay surprises.","Where's Pieter delivers a one-of-a-kind browser experience, combining unexpected mechanics, striking visuals, and clever design choices. Each session offers a new twist, keeping players curious and engaged from the first click to the final challenge.",https://aibuiltgames.com/images/wheres-pieter.png,c9456de6-123b-4099-a528-2b101e39f434,Puzzle,Puzzle,Calude 3.5,FALSE,Where's Pieter Game,,https://x.com/stvngunn,"Play 'Where's Pieter' using your mouse or keyboard. Each level introduces new mechanics, so pay attention to hints and experiment with interactions to uncover hidden layers of the game."
Society Fail,"Step into the world of 'Society Fail', where genre boundaries blur and gameplay surprises.","Society Fail delivers a one-of-a-kind browser experience, combining unexpected mechanics, striking visuals, and clever design choices. Each session offers a new twist, keeping players curious and engaged from the first click to the final challenge.",https://aibuiltgames.com/images/society.png,c9456de6-123b-4099-a528-2b101e39f434,Strategy,Strategy,Calude 3.5,FALSE,Society Fail,,https://x.com/Shpigford,"Play 'Society Fail' using your mouse or keyboard. Each level introduces new mechanics, so pay attention to hints and experiment with interactions to uncover hidden layers of the game."
Flappi Bird,"Step into the world of 'Flappi Bird', where genre boundaries blur and gameplay surprises.","Flappi Bird delivers a one-of-a-kind browser experience, combining unexpected mechanics, striking visuals, and clever design choices. Each session offers a new twist, keeping players curious and engaged from the first click to the final challenge.",https://aibuiltgames.com/images/flappi-bird.png,c9456de6-123b-4099-a528-2b101e39f434,Action,Action,Calude 3.5,FALSE,AAA Flappy Bird Clone with Fallbacks,,https://x.com/joshuajohnsonAI,"Play 'Flappi Bird' using your mouse or keyboard. Each level introduces new mechanics, so pay attention to hints and experiment with interactions to uncover hidden layers of the game."
AI No Suika,"Step into the world of 'AI No Suika', where genre boundaries blur and gameplay surprises.","AI No Suika delivers a one-of-a-kind browser experience, combining unexpected mechanics, striking visuals, and clever design choices. Each session offers a new twist, keeping players curious and engaged from the first click to the final challenge.",https://aibuiltgames.com/images/ai-no-suika.png,c9456de6-123b-4099-a528-2b101e39f434,Arcade,Arcade,Calude 3.5,FALSE,Ai-No-Suika Game,,https://x.com/NuclearViber,"Play 'AI No Suika' using your mouse or keyboard. Each level introduces new mechanics, so pay attention to hints and experiment with interactions to uncover hidden layers of the game."
